name	dtype	shape	numel	bytes
network.conv_layer.bias	torch.float32	(512,)	512	2048
network.conv_layer.weight	torch.float32	(512, 16, 21)	172032	688128
network.lstm.bias_hh_l0	torch.float32	(2048,)	2048	8192
network.lstm.bias_hh_l1	torch.float32	(2048,)	2048	8192
network.lstm.bias_hh_l2	torch.float32	(2048,)	2048	8192
network.lstm.bias_ih_l0	torch.float32	(2048,)	2048	8192
network.lstm.bias_ih_l1	torch.float32	(2048,)	2048	8192
network.lstm.bias_ih_l2	torch.float32	(2048,)	2048	8192
network.lstm.weight_hh_l0	torch.float32	(2048, 512)	1048576	4194304
network.lstm.weight_hh_l1	torch.float32	(2048, 512)	1048576	4194304
network.lstm.weight_hh_l2	torch.float32	(2048, 512)	1048576	4194304
network.lstm.weight_ih_l0	torch.float32	(2048, 512)	1048576	4194304
network.lstm.weight_ih_l1	torch.float32	(2048, 512)	1048576	4194304
network.lstm.weight_ih_l2	torch.float32	(2048, 512)	1048576	4194304
network.post_conv_layer_norm.bias	torch.float32	(512,)	512	2048
network.post_conv_layer_norm.weight	torch.float32	(512,)	512	2048
network.post_lstm_layer_norm.bias	torch.float32	(512,)	512	2048
network.post_lstm_layer_norm.weight	torch.float32	(512,)	512	2048
network.projection.bias	torch.float32	(9,)	9	36
network.projection.weight	torch.float32	(9, 512)	4608	18432